28
0 2 1 5 7 8 5 8 0 10 8 1 2 3 4 5 6 7 8 9 8 7 6 5 4 3 2 1 
2 0 0 3 4 7 9 3 4 2 9 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1 0 0 2 3 4 5 6 7 8 7 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
5 3 2 0 9 4 5 7 8 4 6 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
7 4 3 9 0 9 10 2 1 3 5 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
8 7 4 4 9 0 4 3 2 1  10 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
5 9 5 5 10 4 0 10 10 10 6 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
8 3 6 7 2 3 10 0 3 4 4 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
0 4 7 8 1 2 10 3 0 5 7 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
10 2 8 4 3 1 10 4 5 0 1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
8 9 7 6 5 10 6 4 7 1 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1 1 1 1 1 1 1 1 1 1 1 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
2 2 2 2 2 2 2 2 2 2 2 2 0 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
3 3 3 3 3 3 3 3 3 3 3 3 3 0 4 5 6 7 8 9 10 11 12 13 14 15 16 17
4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 5 6 7 8 9 10 11 12 13 14 15 16 17
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 6 7 8 9 10 11 12 13 14 15 16 17
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 0 7 8 9 10 11 12 13 14 15 16 17
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 0 8 9 10 11 12 13 14 15 16 17
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 0 9 10 11 12 13 14 15 16 17
9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 0 10 11 12 13 14 15 16 17
8 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 0 11 12 13 14 15 16 17
7 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 0 12 13 14 15 16 17
6 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 13 14 15 16 17
5 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 0 14 15 16 17
4 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 14 0 15 16 17
3 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 15 0 16 17
2 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16 0 17
1 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 0
